"Date","Price","Open","High","Low","Change %"
"Jan 06, 2020","13,940.0","13,925.0","13,970.0","13,925.0","0.11%"
"Jan 03, 2020","13,925.0","13,880.0","13,935.0","13,880.0","0.26%"
"Jan 02, 2020","13,889.0","13,870.0","13,905.0","13,870.0","0.05%"
"Jan 01, 2020","13,882.5","13,882.5","13,882.5","13,882.5","0.00%"
"Dec 31, 2019","13,882.5","13,922.5","13,922.5","13,862.5","-0.30%"
"Dec 30, 2019","13,924.5","13,949.5","13,949.5","13,914.5","-0.18%"
"Dec 27, 2019","13,950.0","13,955.0","13,962.0","13,947.0","-0.04%"
"Dec 26, 2019","13,955.0","13,970.0","13,980.0","13,955.0","-0.09%"
"Dec 25, 2019","13,967.5","13,967.5","13,967.5","13,967.5","0.00%"
"Dec 24, 2019","13,967.5","13,967.5","13,967.5","13,967.5","0.00%"
"Dec 23, 2019","13,967.5","13,957.5","13,992.5","13,957.5","-0.07%"
"Dec 20, 2019","13,977.5","13,982.5","14,003.5","13,977.5","-0.05%"
"Dec 19, 2019","13,985.0","13,975.0","14,000.0","13,975.0","0.07%"
"Dec 18, 2019","13,975.0","13,995.0","14,010.0","13,975.0","-0.11%"
"Dec 17, 2019","13,990.0","13,995.0","14,019.0","13,990.0","-0.11%"
"Dec 16, 2019","14,005.0","13,995.0","14,020.0","13,995.0","0.14%"
"Dec 13, 2019","13,985.0","13,980.0","13,990.0","13,955.0","-0.29%"
"Dec 12, 2019","14,025.0","14,035.0","14,045.0","14,025.0","-0.07%"
"Dec 11, 2019","14,035.0","13,995.0","14,045.0","13,995.0","0.18%"
"Dec 10, 2019","14,010.0","13,995.0","14,020.0","13,995.0","-0.04%"
"Dec 09, 2019","14,015.0","14,005.0","14,023.0","14,005.0","-0.16%"
"Dec 06, 2019","14,037.5","14,012.5","14,042.5","14,012.5","-0.20%"
"Dec 05, 2019","14,065.0","14,100.0","14,100.0","14,065.0","-0.28%"
"Dec 04, 2019","14,105.0","14,110.0","14,130.0","14,105.0","0.00%"
"Dec 03, 2019","14,105.0","14,115.0","14,132.0","14,105.0","-0.14%"
"Dec 02, 2019","14,125.0","14,105.0","14,135.0","14,105.0","0.14%"
"Nov 29, 2019","14,105.0","14,090.0","14,120.0","14,090.0","0.11%"
"Nov 28, 2019","14,090.0","14,085.0","14,102.0","14,085.0","-0.04%"
"Nov 27, 2019","14,095.0","14,085.0","14,105.0","14,080.0","0.07%"
"Nov 26, 2019","14,085.0","14,085.0","14,095.0","14,075.0","0.07%"
"Nov 25, 2019","14,075.0","14,086.0","14,095.0","14,075.0","-0.07%"
"Nov 22, 2019","14,085.0","14,085.0","14,110.0","14,080.0","-0.02%"
"Nov 21, 2019","14,087.5","14,097.5","14,122.5","14,087.5","-0.05%"
"Nov 20, 2019","14,094.5","14,084.5","14,102.5","14,084.5","0.03%"
"Nov 19, 2019","14,090.0","14,075.0","14,097.0","14,075.0","0.10%"
"Nov 18, 2019","14,076.5","14,071.5","14,088.5","14,071.5","0.02%"
"Nov 15, 2019","14,073.0","14,055.0","14,080.0","14,055.0","-0.09%"
"Nov 14, 2019","14,085.0","14,075.0","14,105.0","14,075.0","0.03%"
"Nov 13, 2019","14,081.0","14,064.0","14,088.0","14,064.0","0.18%"
"Nov 12, 2019","14,055.0","14,057.0","14,065.0","14,045.0","-0.06%"
"Nov 11, 2019","14,063.0","14,030.0","14,075.0","14,015.0","0.35%"
"Nov 08, 2019","14,014.0","14,009.0","14,029.0","14,009.0","0.14%"
"Nov 07, 2019","13,994.5","14,034.5","14,047.5","13,994.5","-0.15%"
"Nov 06, 2019","14,015.0","13,980.0","14,032.0","13,980.0","0.34%"
"Nov 05, 2019","13,967.5","14,017.5","14,035.5","13,967.5","-0.34%"
"Nov 04, 2019","14,015.0","13,995.0","14,020.0","13,995.0","-0.14%"
"Nov 01, 2019","14,035.0","14,045.0","14,072.0","14,035.0","-0.01%"
"Oct 31, 2019","14,037.0","13,995.0","14,045.0","13,985.0","0.07%"
"Oct 30, 2019","14,027.0","14,040.0","14,050.0","14,027.0","0.01%"
"Oct 29, 2019","14,025.0","14,025.0","14,040.0","14,013.0","0.00%"
"Oct 28, 2019","14,025.0","14,020.0","14,032.0","14,015.0","-0.07%"
"Oct 25, 2019","14,035.0","14,045.0","14,073.0","14,035.0","-0.17%"
"Oct 24, 2019","14,059.0","14,005.0","14,060.0","13,985.0","0.21%"
"Oct 23, 2019","14,029.0","14,034.0","14,064.0","14,014.0","-0.08%"
"Oct 22, 2019","14,040.0","14,073.0","14,073.0","13,993.0","-0.27%"
"Oct 21, 2019","14,078.0","14,125.0","14,135.0","14,078.0","-0.47%"
"Oct 18, 2019","14,144.5","14,135.5","14,153.5","14,125.5","-0.02%"
"Oct 17, 2019","14,148.0","14,175.0","14,176.0","14,146.0","-0.15%"
